filename,id_value,nct_id
CZOL446H2301E1-3662.pdf,CZOL446H2301E1,NCT00145327
CCOX189A2369-2246.pdf,CCOX189A2369,NCT00145301
CLAF237A2327E1-2449.pdf,CLAF237A2327E1,NCT00138619
CLAF237A2305E1-2322.pdf,CLAF237A2305E1,NCT00138580
CLAF237A2309E1-2363.pdf,CLAF237A2309E1,NCT00138567
CLAF237A2301E1-2311.pdf,CLAF237A2301E1,NCT00138541
CLAF237A2303E1-2301.pdf,CLAF237A2303E1,NCT00138515
CXUO320B2302-2446.pdf,CXUO320B2302,NCT00136799
CCIB002FUS12-2414.pdf,CCIB002FUS12,NCT00136773
CFOR258F2402-2303.pdf,CFOR258F2402,NCT00134979
CLAF237A2323-2428.pdf,CLAF237A2323,NCT00110240
CLAF237A2308-2649.pdf,CLAF237A2308,NCT00106340
CLAF237A2338-2851.pdf,CLAF237A2338,NCT00102466
CLAF237A2355-2284.pdf,CLAF237A2355,NCT00101803
CZOL446O2306-2456.pdf,CZOL446O2306,NCT00100620
CLAF237A2304-2286.pdf,CLAF237A2304,NCT00099853
CELC200A2401-2791.pdf,CELC200A2401,NCT00099268
CENA713D2320-2255.pdf,CENA713D2320,NCT00099242
CENA713BIA05-2240.pdf,CENA713BIA05,NCT00099216
CDJN608B2302-3223.pdf,CDJN608B2302,NCT00097786
CIGE025A2306-1601.pdf,CIGE025A2306,NCT00046748
novo-NN9068-3697.pdf,NN9068-3697,NCT01336023
novo-NN5401-3598.pdf,NN5401-3598,NCT02762578
CAIN457F2302#E1-14947.pdf,CAIN457F2302/E1,NCT01377012
CCOX189A2361-1552.pdf,CCOX189A2361,NCT00367315
CENA713D1301-4162.pdf,CENA713D1301,NCT00423085
CLAF237A2301-2276.pdf,CLAF237A2301,NCT00099905
CLAF237A2303-2283.pdf,CLAF237A2303,NCT00099892
CLAF237A2305-2274.pdf,CLAF237A2305,NCT00099944
CLAF237A2309-2275.pdf,CLAF237A2309,NCT00099866
CLAF237A2310-2634.pdf,CLAF237A2310,NCT00102388
CLAF237A23137-4598.pdf,CLAF237A23137,NCT00646542
CLAF237A2327-2282.pdf,CLAF237A2327,NCT00099918
CQAB149B2335S-2744.pdf,CQAB149B2335S,NCT00463567
CSPP100A2323-2384.pdf,CSPP100A2323,NCT00219154
CZOL446H2301-2323.pdf,CZOL446H2301,NCT00049829
